"","rank","region","team","opponent","group","owner","bid"
"24",8,"Midwest","Utah State Aggies","Washington Huskies",1,"",""
"241",8,"Midwest","Utah State Aggies","Washington Huskies",1,"Marc","120"
"61",13,"West","Vermont Catamounts","Florida State Seminoles",1,"Jared","50"
"4",4,"East","Virginia Tech Hokies","Saint Louis Billikens",1,"Jason","140"
"32",16,"Midwest","Iona Gaels","North Carolina Tar Heels",1,"Matt","50"
"55",7,"West","Nevada Wolf Pack","Florida Gators",1,"Jason","115"
"19",3,"Midwest","Houston Cougars","Georgia State Panthers",1,"Mark","150"
"11",11,"East","Belmont Bruins/Temple Owls","Maryland Terrapins",1,"Dave","70"
"47",15,"South","Colgate Raiders","Tennessee Volunteers",1,"Matt","60"
"37",5,"South","Wisconsin Badgers","Oregon Ducks",1,"Mark","75"
"28",12,"Midwest","New Mexico State Aggies","Auburn Tigers",1,"Dave","70"
"42",10,"South","Iowa Hawkeyes","Cincinnati Bearcats",1,"Matt","75"
"25",9,"Midwest","Washington Huskies","Utah State Aggies",1,"Mark","65"
"50",2,"West","Michigan Wolverines","Montana Grizzlies",1,"Mark","240"
"46",14,"South","Old Dominion Monarchs","Purdue Boilermakers",1,"Jared","70"
"17",1,"Midwest","North Carolina Tar Heels","Iona Gaels",1,"Jason","300"
"38",6,"South","Villanova Wildcats","Saint Mary's Gaels",1,"Marc","140"
"8",8,"East","VCU Rams","UCF Knights",2,"Jared","80"
"64",16,"West","Fairleigh Dickinson Knights/Prairie View A&M Panthers","Gonzaga Bulldogs",2,"Matt","50"
"45",13,"South","UC Irvine Anteaters","Kansas State Wildcats",2,"Jason","80"
"36",4,"South","Kansas State Wildcats","UC Irvine Anteaters",2,"Marc","170"
"57",9,"West","Baylor Bears","Syracuse Orange",2,"Mark","75"
"31",15,"Midwest","Abilene Christian Wildcats","Kentucky Wildcats",2,"Dave","40"
"44",12,"South","Oregon Ducks","Wisconsin Badgers",2,"Marc","110"
"27",11,"Midwest","Ohio State Buckeyes","Iowa State Cyclones",2,"Jared","70"
"30",14,"Midwest","Georgia State Panthers","Houston Cougars",2,"Matt","40"
"35",3,"South","Purdue Boilermakers","Old Dominion Monarchs",2,"Mark","180"
"39",7,"South","Cincinnati Bearcats","Iowa Hawkeyes",2,"Dave","120"
"26",10,"Midwest","Seton Hall Pirates","Wofford Terriers",2,"Marc","60"
"5",5,"East","Mississippi State Bulldogs","Liberty Flames",2,"Mark","120"
"22",6,"Midwest","Iowa State Cyclones","Ohio State Buckeyes",2,"Matt","115"
"34",2,"South","Tennessee Volunteers","Colgate Raiders",2,"Jared","200"
"33",1,"South","Virginia Cavaliers","Gardner-Webb Bulldogs",2,"Matt","250"
"52",4,"West","Florida State Seminoles","Vermont Catamounts",3,"Marc","145"
"48",16,"South","Gardner-Webb Bulldogs","Virginia Cavaliers",3,"Matt","40"
"54",6,"West","Buffalo Bulls","Arizona State Sun Devils/St. John's Red Storm",3,"Dave","65"
"60",12,"West","Murray State Racers","Marquette Golden Eagles",3,"Dave","90"
"63",15,"West","Montana Grizzlies","Michigan Wolverines",3,"Jared","40"
"14",14,"East","Yale Bulldogs","LSU Tigers",3,"Dave","45"
"2",2,"East","Michigan State Spartans","Bradley Braves",3,"Jared","260"
"13",13,"East","Saint Louis Billikens","Virginia Tech Hokies",3,"Dave","40"
"53",5,"West","Marquette Golden Eagles","Murray State Racers",3,"Dave","85"
"1",1,"East","Duke Blue Devils","North Carolina Central Eagles/North Dakota State Bison",3,"Jared","325"
"9",9,"East","UCF Knights","VCU Rams",3,"Dave","70"
"58",10,"West","Florida Gators","Nevada Wolf Pack",3,"Dave","75"
"51",3,"West","Texas Tech Red Raiders","Northern Kentucky Norse",3,"Marc","180"
"23",7,"Midwest","Wofford Terriers","Seton Hall Pirates",3,"Mark","90"
"40",8,"South","Ole Miss Rebels","Oklahoma Sooners",3,"Dave","70"
"59",11,"West","Arizona State Sun Devils/St. John's Red Storm","Buffalo Bulls",3,"Jason","60"
"7",7,"East","Louisville Cardinals","Minnesota Golden Gophers",4,"Dave","100"
"10",10,"East","Minnesota Golden Gophers","Louisville Cardinals",4,"Mark","65"
"15",15,"East","Bradley Braves","Michigan State Spartans",4,"Matt","40"
"56",8,"West","Syracuse Orange","Baylor Bears",4,"Mark","90"
"41",9,"South","Oklahoma Sooners","Ole Miss Rebels",4,"Matt","55"
"16",16,"East","North Carolina Central Eagles/North Dakota State Bison","Duke Blue Devils",4,"Matt","35"
"49",1,"West","Gonzaga Bulldogs","Fairleigh Dickinson Knights/Prairie View A&M Panthers",4,"Jason","270"
"62",14,"West","Northern Kentucky Norse","Texas Tech Red Raiders",4,"Jason","40"
"3",3,"East","LSU Tigers","Yale Bulldogs",4,"Marc","140"
"18",2,"Midwest","Kentucky Wildcats","Abilene Christian Wildcats",4,"Matt","170"
"29",13,"Midwest","Northeastern Huskies","Kansas Jayhawks",4,"Mark","25"
"20",4,"Midwest","Kansas Jayhawks","Northeastern Huskies",4,"Jason","120"
"21",5,"Midwest","Auburn Tigers","New Mexico State Aggies",4,"Matt","95"
"6",6,"East","Maryland Terrapins","Belmont Bruins/Temple Owls",4,"Jared","90"
"12",12,"East","Liberty Flames","Mississippi State Bulldogs",4,"Dave","35"
"43",11,"South","Saint Mary's Gaels","Villanova Wildcats",4,"Marc","110"
