"","rank","region","team","opponent","owner","bid"
"39",7,"South","Missouri Tigers","Utah State Aggies","Olivia","85"
"19",3,"Midwest","Xavier Musketeers","Kennesaw State Owls","Peilin","135"
"46",14,"South","UC Santa Barbara Gauchos","Baylor Bears","Aniket","40"
"9",9,"East","Florida Atlantic Owls","Memphis Tigers","Brandon","60"
"20",4,"Midwest","Indiana Hoosiers","Kent State Golden Flashes","Peilin","125"
"26",10,"Midwest","Penn State Nittany Lions","Texas A&M Aggies","Shawn","60"
"63",15,"West","UNC Asheville Bulldogs","UCLA Bruins","Aniket","40"
"5",5,"East","Duke Blue Devils","Oral Roberts Golden Eagles","Andy","150"
"54",6,"West","TCU Horned Frogs","Arizona State Sun Devils","Aniket","85"
"8",8,"East","Memphis Tigers","Florida Atlantic Owls","Brandon","80"
"34",2,"South","Arizona Wildcats","Princeton Tigers","Aniket","200"
"13",13,"East","Louisiana Ragin' Cajuns","Tennessee Volunteers","Shawn","50"
"43",11,"South","NC State Wolfpack","Creighton Bluejays","Olivia","70"
"12",12,"East","Oral Roberts Golden Eagles","Duke Blue Devils","Shawn","65"
"33",1,"South","Alabama Crimson Tide","Texas A&M-Corpus Christi Islanders","Olivia","255"
"64",16,"West","Howard Bison","Kansas Jayhawks","Cecelia","35"
"22",6,"Midwest","Iowa State Cyclones","Pittsburgh Panthers","Brandon","85"
"37",5,"South","San Diego State Aztecs","Charleston Cougars","Chris","95"
"41",9,"South","West Virginia Mountaineers","Maryland Terrapins","Peilin","70"
"45",13,"South","Furman Paladins","Virginia Cavaliers","Olivia","45"
"58",10,"West","Boise State Broncos","Northwestern Wildcats","Peilin","65"
"30",14,"Midwest","Kennesaw State Owls","Xavier Musketeers","Chris","65"
"15",15,"East","Vermont Catamounts","Marquette Golden Eagles","Chris","45"
"51",3,"West","Gonzaga Bulldogs","Grand Canyon Lopes","James","220"
"44",12,"South","Charleston Cougars","San Diego State Aztecs","James","55"
"49",1,"West","Kansas Jayhawks","Howard Bison","Shawn","295"
"11",11,"East","Providence Friars","Kentucky Wildcats","Shawn","45"
"50",2,"West","UCLA Bruins","UNC Asheville Bulldogs","Brandon","220"
"23",7,"Midwest","Texas A&M Aggies","Penn State Nittany Lions","Brandon","80"
"52",4,"West","UConn Huskies","Iona Gaels","Chris","195"
"32",16,"Midwest","Northern Kentucky Norse","Houston Cougars","Chris","40"
"24",8,"Midwest","Iowa Hawkeyes","Auburn Tigers","Cecelia","70"
"7",7,"East","Michigan State Spartans","USC Trojans","Chris","105"
"56",8,"West","Arkansas Razorbacks","Illinois Fighting Illini","Andy","80"
"57",9,"West","Illinois Fighting Illini","Arkansas Razorbacks","Mark","80"
"28",12,"Midwest","Drake Bulldogs","Miami Hurricanes","James","60"
"42",10,"South","Utah State Aggies","Missouri Tigers","Andy","100"
"38",6,"South","Creighton Bluejays","NC State Wolfpack","Aniket","105"
"61",13,"West","Iona Gaels","UConn Huskies","Ruby","65"
"36",4,"South","Virginia Cavaliers","Furman Paladins","Peilin","150"
"62",14,"West","Grand Canyon Lopes","Gonzaga Bulldogs","Peilin","40"
"1",1,"East","Purdue Boilermakers","Fairleigh Dickinson Knights","Mark","240"
"21",5,"Midwest","Miami Hurricanes","Drake Bulldogs","Olivia","110"
"18",2,"Midwest","Texas Longhorns","Colgate Raiders","Linh","230"
"35",3,"South","Baylor Bears","UC Santa Barbara Gauchos","Linh","200"
"31",15,"Midwest","Colgate Raiders","Texas Longhorns","Andy","40"
"16",16,"East","Fairleigh Dickinson Knights","Purdue Boilermakers","Aniket","40"
"59",11,"West","Arizona State Sun Devils","TCU Horned Frogs","Mark","65"
"14",14,"East","Montana State Bobcats","Kansas State Wildcats","Ruby","55"
"6",6,"East","Kentucky Wildcats","Providence Friars","Mark","115"
"25",9,"Midwest","Auburn Tigers","Iowa Hawkeyes","Aniket","95"
"10",10,"East","USC Trojans","Michigan State Spartans","Mark","85"
"60",12,"West","VCU Rams","Saint Mary's Gaels","Shawn","70"
"53",5,"West","Saint Mary's Gaels","VCU Rams","Chris","85"
"48",16,"South","Texas A&M-Corpus Christi Islanders","Alabama Crimson Tide","Shawn","45"
"2",2,"East","Marquette Golden Eagles","Vermont Catamounts","Cecelia","250"
"3",3,"East","Kansas State Wildcats","Montana State Bobcats","James","200"
"27",11,"Midwest","Pittsburgh Panthers","Iowa State Cyclones","Cecelia","75"
"17",1,"Midwest","Houston Cougars","Northern Kentucky Norse","Ruby","265"
"55",7,"West","Northwestern Wildcats","Boise State Broncos","Linh","95"
"29",13,"Midwest","Kent State Golden Flashes","Indiana Hoosiers","Ruby","65"
"4",4,"East","Tennessee Volunteers","Louisiana Ragin' Cajuns","Ruby","130"
"40",8,"South","Maryland Terrapins","West Virginia Mountaineers","Mark","60"
"",15,"South","Princeton Tigers", "Arizona Wildcats","Aniket","40"
