old_row,new_row
1,93
2,91
3,89
4,87
5,85
6,83
7,81
8,79
9,77
10,75
11,73
12,71
13,69
14,67
15,65
16,63
17,31
18,29
19,27
20,25
21,23
22,21
23,19
24,17
25,15
26,13
27,11
28,9
29,7
30,5
31,3
32,1
33,109
34,107
35,105
36,103
37,101
38,99
39,97
40,95
41,47
42,45
43,43
44,41
45,39
46,37
47,35
48,33
49,117
50,115
51,113
52,111
53,55
54,53
55,51
56,49
57,121
58,119
59,59
60,57
61,123
62,61
63,125
64,94
65,92
66,90
67,88
68,86
69,84
70,82
71,80
72,78
73,76
74,74
75,72
76,70
77,68
78,66
79,64
80,32
81,30
82,28
83,26
84,24
85,22
86,20
87,18
88,16
89,14
90,12
91,10
92,8
93,6
94,4
95,2
96,110
97,108
98,106
99,104
100,102
101,100
102,98
103,96
104,48
105,46
106,44
107,42
108,40
109,38
110,36
111,34
112,118
113,116
114,114
115,112
116,56
117,54
118,52
119,50
120,122
121,120
122,60
123,58
124,124
125,62
126,126
127,127
