"rank","region","team","opponent"
1,"East","Baylor Bears","Norfolk State Spartans"
2,"East","Kentucky Wildcats","Saint Peter's Peacocks"
3,"East","Purdue Boilermakers","Yale Bulldogs"
4,"East","UCLA Bruins","Akron Zips"
5,"East","Saint Mary's Gaels","Wyoming/Indiana"
6,"East","Texas Longhorns","Virginia Tech Hokies"
7,"East","Murray State Racers","San Francisco Dons"
8,"East","North Carolina Tar Heels","Marquette Golden Eagles"
9,"East","Marquette Golden Eagles","North Carolina Tar Heels"
10,"East","San Francisco Dons","Murray State Racers"
11,"East","Virginia Tech Hokies","Texas Longhorns"
12,"East","Wyoming/Indiana","Saint Mary's Gaels"
13,"East","Akron Zips","UCLA Bruins"
14,"East","Yale Bulldogs","Purdue Boilermakers"
15,"East","Saint Peter's Peacocks","Kentucky Wildcats"
16,"East","Norfolk State Spartans","Baylor Bears"
1,"Midwest","Kansas Jayhawks","Texas Southern/Texas A&M-CC"
2,"Midwest","Auburn Tigers","Jacksonville State Gamecocks"
3,"Midwest","Wisconsin Badgers","Colgate Raiders"
4,"Midwest","Providence Friars","South Dakota State Jackrabbits"
5,"Midwest","Iowa Hawkeyes","Richmond Spiders"
6,"Midwest","LSU Tigers","Iowa State Cyclones"
7,"Midwest","USC Trojans","Miami Hurricanes"
8,"Midwest","San Diego State Aztecs","Creighton Bluejays"
9,"Midwest","Creighton Bluejays","San Diego State Aztecs"
10,"Midwest","Miami Hurricanes","USC Trojans"
11,"Midwest","Iowa State Cyclones","LSU Tigers"
12,"Midwest","Richmond Spiders","Iowa Hawkeyes"
13,"Midwest","South Dakota State Jackrabbits","Providence Friars"
14,"Midwest","Colgate Raiders","Wisconsin Badgers"
15,"Midwest","Jacksonville State Gamecocks","Auburn Tigers"
16,"Midwest","Texas Southern/Texas A&M-CC","Kansas Jayhawks"
1,"South","Arizona Wildcats","Wright St/Bryant"
2,"South","Villanova Wildcats","Delaware Blue Hens"
3,"South","Tennessee Volunteers","Longwood Lancers"
4,"South","Illinois Fighting Illini","Chattanooga Mocs"
5,"South","Houston Cougars","UAB Blazers"
6,"South","Colorado State Rams","Michigan Wolverines"
7,"South","Ohio State Buckeyes","Loyola Chicago Ramblers"
8,"South","Seton Hall Pirates","TCU Horned Frogs"
9,"South","TCU Horned Frogs","Seton Hall Pirates"
10,"South","Loyola Chicago Ramblers","Ohio State Buckeyes"
11,"South","Michigan Wolverines","Colorado State Rams"
12,"South","UAB Blazers","Houston Cougars"
13,"South","Chattanooga Mocs","Illinois Fighting Illini"
14,"South","Longwood Lancers","Tennessee Volunteers"
15,"South","Delaware Blue Hens","Villanova Wildcats"
16,"South","Wright St/Bryant","Arizona Wildcats"
1,"West","Gonzaga Bulldogs","Georgia State Panthers"
2,"West","Duke Blue Devils","CSU Fullerton Titans"
3,"West","Texas Tech Red Raiders","Montana State Bobcats"
4,"West","Arkansas Razorbacks","Vermont Catamounts"
5,"West","UConn Huskies","New Mexico State Aggies"
6,"West","Alabama Crimson Tide","Rutgers/Notre Dame"
7,"West","Michigan State Spartans","Davidson Wildcats"
8,"West","Boise State Broncos","Memphis Tigers"
9,"West","Memphis Tigers","Boise State Broncos"
10,"West","Davidson Wildcats","Michigan State Spartans"
11,"West","Rutgers/Notre Dame","Alabama Crimson Tide"
12,"West","New Mexico State Aggies","UConn Huskies"
13,"West","Vermont Catamounts","Arkansas Razorbacks"
14,"West","Montana State Bobcats","Texas Tech Red Raiders"
15,"West","CSU Fullerton Titans","Duke Blue Devils"
16,"West","Georgia State Panthers","Gonzaga Bulldogs"
